Ref,Water kg/m^3,Cement kg/m^3,Sand,NCA,RCA,SP,Dia Max,Density RCA,W RCA,UCS,W/C,Agg/C,RCA %
[11],175,350,730,711,297,1.68,25,2530,1.9,36.7,0.5,2.88,29.46428571
,175,350,730,508,494,1.68,25,2530,1.9,38,0.5,2.862857143,49.30139721
,175,350,730,0,989,1.68,25,2530,1.9,36,0.5,2.825714286,100
,175,350,730,508,469,1.68,25,2400,6.2,30.4,0.5,2.791428571,48.00409417
,175,350,730,0,938,1.68,25,2400,6.2,29.5,0.5,2.68,100
[12],190,380,744.45,756.97,189.24,2.66,20,2338,5.2,47.4,0.5,2.490026316,19.99978863
,190,380,709.54,471.13,471.12,2.66,20,2338,5.2,47.3,0.5,2.479605263,49.99946936
,190,380,714.56,0,874.04,5.32,20,2338,5.2,54.8,0.5,2.300105263,100
,140,350,732,519,556,4.2,12,2420,6.8,43.3,0.4,3.071428571,51.72093023
[13],153,340,723,512,549,3.4,12,2400,6.8,39.6,0.45,3.120588235,51.74363808
,165,330,715,507,543,2.64,12,2400,6.8,38.1,0.5,3.181818182,51.71428571
,176,320,708,502,537,1.92,12,2400,6.8,34.5,0.55,3.246875,51.68431184
,186,310,702,497,533,1.24,12,2400,6.8,31.6,0.6,3.322580645,51.74757282
,140,350,732,553,523,4.2,22,2420,8.8,46.1,0.4,3.074285714,48.60594796
,153,340,723,547,517,3.4,22,2420,8.8,45.8,0.45,3.129411765,48.59022556
,165,330,715,541,511,2.64,22,2420,8.8,39.9,0.5,3.187878788,48.57414449
,176,320,708,535,506,1.92,22,2420,8.8,36.3,0.55,3.253125,48.60710855
,186,310,702,531,501,1.24,22,2420,8.8,34.7,0.6,3.329032258,48.54651163
[14],200,270,750,675,200,1.08,19,2440,5.8,18.5,0.740740741,3.240740741,22.85714286
,210,270,750,450,400,1.35,19,2440,5.8,18,0.777777778,3.148148148,47.05882353
,220,270,750,225,600,1.62,19,2440,5.8,16.5,0.814814815,3.055555556,72.72727273
